,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,
Interest payment ($),0,"1,233","1,207","1,180","1,152","1,122","1,091","1,058","1,023",987,948,908,866,822,776,727,676,622,566,506,444,379,310,238,163,83,
Principal payment ($),0,517,543,570,598,628,660,693,727,764,802,842,884,928,975,"1,023","1,074","1,128","1,185","1,244","1,306","1,371","1,440","1,512","1,587","1,667",
Total P&I debt payment ($),0,"1,750","1,750","1,750","1,750","1,750","1,750","1,750","1,750","1,750","1,750","1,750","1,750","1,750","1,750","1,750","1,750","1,750","1,750","1,750","1,750","1,750","1,750","1,750","1,750","1,750",
,,,,,,,,,,,,,,,,,,,,,,,,,,,
STATE INCOME TAX,,,,,,,,,,,,,,,,,,,,,,,,,,,
State taxable incentive income ($),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Deductible expenses ($),0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,
Interest payment ($),-0,"-1,233","-1,207","-1,180","-1,152","-1,122","-1,091","-1,058","-1,023",-987,-948,-908,-866,-822,-776,-727,-676,-622,-566,-506,-444,-379,-310,-238,-163,-83,
State taxable income less deductions ($),0,"-1,233","-1,207","-1,180","-1,152","-1,122","-1,091","-1,058","-1,023",-987,-948,-908,-866,-822,-776,-727,-676,-622,-566,-506,-444,-379,-310,-238,-163,-83,
state tax credits:,,,,,,,,,,,,,,,,,,,,,,,,,,,
State PTC income ($),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
State ITC income ($),,0,,,,,,,,,,,,,,,,,,,,,,,,,
minus state tax:,,,,,,,,,,,,,,,,,,,,,,,,,,,
State taxable income less deductions ($),0,"-1,233","-1,207","-1,180","-1,152","-1,122","-1,091","-1,058","-1,023",-987,-948,-908,-866,-822,-776,-727,-676,-622,-566,-506,-444,-379,-310,-238,-163,-83,
State income tax rate (frac),0,0.060,0.060,0.060,0.060,0.060,0.060,0.060,0.060,0.060,0.060,0.060,0.060,0.060,0.060,0.060,0.060,0.060,0.060,0.060,0.060,0.060,0.060,0.060,0.060,0.060,
equals state tax savings:,,,,,,,,,,,,,,,,,,,,,,,,,,,
State tax savings ($),0,74,72,71,69,67,65,63,61,59,57,54,52,49,47,44,41,37,34,30,27,23,19,14,10,5,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
FEDERAL INCOME TAX,,,,,,,,,,,,,,,,,,,,,,,,,,,
Federal taxable incentive income ($),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Deductible expenses ($),0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,
State tax savings ($),0,74,72,71,69,67,65,63,61,59,57,54,52,49,47,44,41,37,34,30,27,23,19,14,10,5,
Interest payment ($),-0,"-1,233","-1,207","-1,180","-1,152","-1,122","-1,091","-1,058","-1,023",-987,-948,-908,-866,-822,-776,-727,-676,-622,-566,-506,-444,-379,-310,-238,-163,-83,
Federal taxable income less deductions ($),0,"-1,159","-1,135","-1,110","-1,083","-1,055","-1,025",-994,-962,-927,-891,-854,-814,-773,-729,-683,-635,-585,-532,-476,-418,-356,-292,-224,-153,-78,
federal tax credits:,,,,,,,,,,,,,,,,,,,,,,,,,,,
Federal PTC income ($),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Federal ITC income ($),,"6,413",,,,,,,,,,,,,,,,,,,,,,,,,
minus federal tax:,,,,,,,,,,,,,,,,,,,,,,,,,,,
Federal taxable income less deductions ($),0,"-1,159","-1,135","-1,110","-1,083","-1,055","-1,025",-994,-962,-927,-891,-854,-814,-773,-729,-683,-635,-585,-532,-476,-418,-356,-292,-224,-153,-78,
Federal income tax rate (frac),0,0.200,0.200,0.200,0.200,0.200,0.200,0.200,0.200,0.200,0.200,0.200,0.200,0.200,0.200,0.200,0.200,0.200,0.200,0.200,0.200,0.200,0.200,0.200,0.200,0.200,
equals:,,,,,,,,,,,,,,,,,,,,,,,,,,,
Federal tax savings ($),0,"6,645",227,222,217,211,205,199,192,185,178,171,163,155,146,137,127,117,106,95,84,71,58,45,31,16,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
After-tax annual costs ($),0,"4,706","-1,721","-1,734","-1,748","-1,763","-1,778","-1,793","-1,810","-1,826","-1,844","-1,862","-1,881","-1,901","-1,921","-1,942","-1,964","-1,987","-2,011","-2,035","-2,061","-2,088","-2,116","-2,145","-2,175","-2,206",
After-tax cash flow ($),0,"6,002",-397,-377,-357,-337,-316,-295,-274,-253,-231,-208,-186,-163,-140,-117,-93,-69,-45,-21,4,29,54,79,105,131,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
CASH INCENTIVES,,,,,,,,,,,,,,,,,,,,,,,,,,,
Federal IBI income ($),0,,,,,,,,,,,,,,,,,,,,,,,,,,
State IBI income ($),0,,,,,,,,,,,,,,,,,,,,,,,,,,
Utility IBI income ($),0,,,,,,,,,,,,,,,,,,,,,,,,,,
Other IBI income ($),0,,,,,,,,,,,,,,,,,,,,,,,,,,
Total IBI income ($),0,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Federal CBI income ($),0,,,,,,,,,,,,,,,,,,,,,,,,,,
State CBI income ($),0,,,,,,,,,,,,,,,,,,,,,,,,,,
Utility CBI income ($),0,,,,,,,,,,,,,,,,,,,,,,,,,,
Other CBI income ($),0,,,,,,,,,,,,,,,,,,,,,,,,,,
Total CBI income ($),0,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Federal PBI income ($),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
State PBI income ($),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Utility PBI income ($),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Other PBI income ($),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Total PBI income ($),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
TAX CREDITS,,,,,,,,,,,,,,,,,,,,,,,,,,,
Federal PTC income ($),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
State PTC income ($),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Federal ITC income ($),,"6,413",,,,,,,,,,,,,,,,,,,,,,,,,
State ITC income ($),,0,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
