,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,
DEBT REPAYMENT,,,,,,,,,,,,,,,,,,,,,,,,,,,
Debt balance ($),"43,228","42,323","41,372","40,373","39,324","38,224","37,068","35,854","34,579","33,241","31,836","30,361","28,812","27,185","25,477","23,684","21,801","19,824","17,748","15,568","13,279","10,876","8,353","5,703","2,921",0,
Interest payment ($),0,"2,161","2,116","2,069","2,019","1,966","1,911","1,853","1,793","1,729","1,662","1,592","1,518","1,441","1,359","1,274","1,184","1,090",991,887,778,664,544,418,285,146,
Principal payment ($),0,906,951,999,"1,049","1,101","1,156","1,214","1,274","1,338","1,405","1,475","1,549","1,627","1,708","1,793","1,883","1,977","2,076","2,180","2,289","2,403","2,523","2,650","2,782","2,921",
Total P&I debt payment ($),0,"3,067","3,067","3,067","3,067","3,067","3,067","3,067","3,067","3,067","3,067","3,067","3,067","3,067","3,067","3,067","3,067","3,067","3,067","3,067","3,067","3,067","3,067","3,067","3,067","3,067",
,,,,,,,,,,,,,,,,,,,,,,,,,,,
STATE INCOME TAX,,,,,,,,,,,,,,,,,,,,,,,,,,,
State taxable incentive income ($),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Deductible expenses ($),0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,
Interest payment ($),-0,"-2,161","-2,116","-2,069","-2,019","-1,966","-1,911","-1,853","-1,793","-1,729","-1,662","-1,592","-1,518","-1,441","-1,359","-1,274","-1,184","-1,090",-991,-887,-778,-664,-544,-418,-285,-146,
State taxable income less deductions ($),0,"-2,161","-2,116","-2,069","-2,019","-1,966","-1,911","-1,853","-1,793","-1,729","-1,662","-1,592","-1,518","-1,441","-1,359","-1,274","-1,184","-1,090",-991,-887,-778,-664,-544,-418,-285,-146,
state tax credits:,,,,,,,,,,,,,,,,,,,,,,,,,,,
State PTC income ($),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
State ITC income ($),,0,,,,,,,,,,,,,,,,,,,,,,,,,
minus state tax:,,,,,,,,,,,,,,,,,,,,,,,,,,,
State taxable income less deductions ($),0,"-2,161","-2,116","-2,069","-2,019","-1,966","-1,911","-1,853","-1,793","-1,729","-1,662","-1,592","-1,518","-1,441","-1,359","-1,274","-1,184","-1,090",-991,-887,-778,-664,-544,-418,-285,-146,
State income tax rate (frac),0,0.060,0.060,0.060,0.060,0.060,0.060,0.060,0.060,0.060,0.060,0.060,0.060,0.060,0.060,0.060,0.060,0.060,0.060,0.060,0.060,0.060,0.060,0.060,0.060,0.060,
equals state tax savings:,,,,,,,,,,,,,,,,,,,,,,,,,,,
State tax savings ($),0,130,127,124,121,118,115,111,108,104,100,96,91,86,82,76,71,65,59,53,47,40,33,25,17,9,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
FEDERAL INCOME TAX,,,,,,,,,,,,,,,,,,,,,,,,,,,
Federal taxable incentive income ($),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Deductible expenses ($),0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,
State tax savings ($),0,130,127,124,121,118,115,111,108,104,100,96,91,86,82,76,71,65,59,53,47,40,33,25,17,9,
Interest payment ($),-0,"-2,161","-2,116","-2,069","-2,019","-1,966","-1,911","-1,853","-1,793","-1,729","-1,662","-1,592","-1,518","-1,441","-1,359","-1,274","-1,184","-1,090",-991,-887,-778,-664,-544,-418,-285,-146,
Federal taxable income less deductions ($),0,"-2,032","-1,989","-1,944","-1,898","-1,848","-1,797","-1,742","-1,685","-1,625","-1,562","-1,496","-1,427","-1,354","-1,278","-1,197","-1,113","-1,025",-932,-834,-732,-624,-511,-393,-268,-137,
federal tax credits:,,,,,,,,,,,,,,,,,,,,,,,,,,,
Federal PTC income ($),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Federal ITC income ($),,"11,239",,,,,,,,,,,,,,,,,,,,,,,,,
minus federal tax:,,,,,,,,,,,,,,,,,,,,,,,,,,,
Federal taxable income less deductions ($),0,"-2,032","-1,989","-1,944","-1,898","-1,848","-1,797","-1,742","-1,685","-1,625","-1,562","-1,496","-1,427","-1,354","-1,278","-1,197","-1,113","-1,025",-932,-834,-732,-624,-511,-393,-268,-137,
Federal income tax rate (frac),0,0.200,0.200,0.200,0.200,0.200,0.200,0.200,0.200,0.200,0.200,0.200,0.200,0.200,0.200,0.200,0.200,0.200,0.200,0.200,0.200,0.200,0.200,0.200,0.200,0.200,
equals:,,,,,,,,,,,,,,,,,,,,,,,,,,,
Federal tax savings ($),0,"11,646",398,389,380,370,359,348,337,325,312,299,285,271,256,239,223,205,186,167,146,125,102,79,54,27,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
After-tax annual costs ($),0,"8,240","-3,022","-3,046","-3,071","-3,096","-3,123","-3,151","-3,179","-3,209","-3,240","-3,272","-3,305","-3,340","-3,376","-3,413","-3,452","-3,492","-3,534","-3,577","-3,623","-3,670","-3,719","-3,770","-3,823","-3,878",
After-tax cash flow ($),0,"10,469",-744,-711,-678,-643,-609,-573,-537,-501,-464,-427,-389,-351,-312,-273,-233,-193,-152,-111,-70,-28,14,56,99,142,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
CASH INCENTIVES,,,,,,,,,,,,,,,,,,,,,,,,,,,
Federal IBI income ($),0,,,,,,,,,,,,,,,,,,,,,,,,,,
State IBI income ($),0,,,,,,,,,,,,,,,,,,,,,,,,,,
Utility IBI income ($),0,,,,,,,,,,,,,,,,,,,,,,,,,,
Other IBI income ($),0,,,,,,,,,,,,,,,,,,,,,,,,,,
Total IBI income ($),0,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Federal CBI income ($),0,,,,,,,,,,,,,,,,,,,,,,,,,,
State CBI income ($),0,,,,,,,,,,,,,,,,,,,,,,,,,,
Utility CBI income ($),0,,,,,,,,,,,,,,,,,,,,,,,,,,
Other CBI income ($),0,,,,,,,,,,,,,,,,,,,,,,,,,,
Total CBI income ($),0,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Federal PBI income ($),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
State PBI income ($),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Utility PBI income ($),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Other PBI income ($),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Total PBI income ($),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
TAX CREDITS,,,,,,,,,,,,,,,,,,,,,,,,,,,
Federal PTC income ($),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
State PTC income ($),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Federal ITC income ($),,"11,239",,,,,,,,,,,,,,,,,,,,,,,,,
State ITC income ($),,0,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
