,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,
Principal payment ($),0,"1,405","1,476","1,549","1,627","1,708","1,794","1,883","1,977","2,076","2,180","2,289","2,404","2,524","2,650","2,782","2,922","3,068","3,221","3,382","3,551",0,0,0,0,0,
Total P&I debt payment ($),0,"3,729","3,729","3,729","3,729","3,729","3,729","3,729","3,729","3,729","3,729","3,729","3,729","3,729","3,729","3,729","3,729","3,729","3,729","3,729","3,729",0,0,0,0,0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
STATE INCOME TAX,,,,,,,,,,,,,,,,,,,,,,,,,,,
State taxable incentive income ($),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Deductible expenses ($),0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,
Interest payment ($),-0,"-2,323","-2,253","-2,179","-2,102","-2,021","-1,935","-1,845","-1,751","-1,652","-1,549","-1,440","-1,325","-1,205","-1,079",-946,-807,-661,-508,-347,-178,-0,-0,-0,-0,-0,
State taxable income less deductions ($),0,"-2,323","-2,253","-2,179","-2,102","-2,021","-1,935","-1,845","-1,751","-1,652","-1,549","-1,440","-1,325","-1,205","-1,079",-946,-807,-661,-508,-347,-178,0,0,0,0,0,
state tax credits:,,,,,,,,,,,,,,,,,,,,,,,,,,,
State PTC income ($),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
State ITC income ($),,0,,,,,,,,,,,,,,,,,,,,,,,,,
minus state tax:,,,,,,,,,,,,,,,,,,,,,,,,,,,
State taxable income less deductions ($),0,"-2,323","-2,253","-2,179","-2,102","-2,021","-1,935","-1,845","-1,751","-1,652","-1,549","-1,440","-1,325","-1,205","-1,079",-946,-807,-661,-508,-347,-178,0,0,0,0,0,
State income tax rate (frac),0,0.060,0.060,0.060,0.060,0.060,0.060,0.060,0.060,0.060,0.060,0.060,0.060,0.060,0.060,0.060,0.060,0.060,0.060,0.060,0.060,0.060,0.060,0.060,0.060,0.060,
equals state tax savings:,,,,,,,,,,,,,,,,,,,,,,,,,,,
State tax savings ($),0,139,135,131,126,121,116,111,105,99,93,86,80,72,65,57,48,40,30,21,11,0,0,0,0,0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
FEDERAL INCOME TAX,,,,,,,,,,,,,,,,,,,,,,,,,,,
Federal taxable incentive income ($),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Deductible expenses ($),0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,
State tax savings ($),0,139,135,131,126,121,116,111,105,99,93,86,80,72,65,57,48,40,30,21,11,0,0,0,0,0,
Interest payment ($),-0,"-2,323","-2,253","-2,179","-2,102","-2,021","-1,935","-1,845","-1,751","-1,652","-1,549","-1,440","-1,325","-1,205","-1,079",-946,-807,-661,-508,-347,-178,-0,-0,-0,-0,-0,
Federal taxable income less deductions ($),0,"-2,184","-2,118","-2,049","-1,976","-1,899","-1,819","-1,735","-1,646","-1,553","-1,456","-1,353","-1,246","-1,133","-1,014",-890,-759,-621,-477,-326,-167,0,0,0,0,0,
federal tax credits:,,,,,,,,,,,,,,,,,,,,,,,,,,,
Federal PTC income ($),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Federal ITC income ($),,"12,082",,,,,,,,,,,,,,,,,,,,,,,,,
minus federal tax:,,,,,,,,,,,,,,,,,,,,,,,,,,,
Federal taxable income less deductions ($),0,"-2,184","-2,118","-2,049","-1,976","-1,899","-1,819","-1,735","-1,646","-1,553","-1,456","-1,353","-1,246","-1,133","-1,014",-890,-759,-621,-477,-326,-167,0,0,0,0,0,
Federal income tax rate (frac),0,0.200,0.200,0.200,0.200,0.200,0.200,0.200,0.200,0.200,0.200,0.200,0.200,0.200,0.200,0.200,0.200,0.200,0.200,0.200,0.200,0.200,0.200,0.200,0.200,0.200,
equals:,,,,,,,,,,,,,,,,,,,,,,,,,,,
Federal tax savings ($),0,"12,518",424,410,395,380,364,347,329,311,291,271,249,227,203,178,152,124,95,65,33,0,0,0,0,0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
After-tax annual costs ($),0,"8,424","-3,688","-3,719","-3,752","-3,786","-3,821","-3,857","-3,895","-3,935","-3,976","-4,019","-4,063","-4,110","-4,158","-4,208","-4,261","-4,315","-4,372","-4,431","-4,493",-828,-849,-870,-892,-914,
After-tax cash flow ($),0,"10,778","-1,281","-1,252","-1,223","-1,194","-1,164","-1,134","-1,104","-1,074","-1,044","-1,013",-982,-952,-921,-891,-860,-829,-799,-769,-739,"3,019","3,095","3,172","3,251","3,333",
,,,,,,,,,,,,,,,,,,,,,,,,,,,
CASH INCENTIVES,,,,,,,,,,,,,,,,,,,,,,,,,,,
Federal IBI income ($),0,,,,,,,,,,,,,,,,,,,,,,,,,,
State IBI income ($),0,,,,,,,,,,,,,,,,,,,,,,,,,,
Utility IBI income ($),0,,,,,,,,,,,,,,,,,,,,,,,,,,
Other IBI income ($),0,,,,,,,,,,,,,,,,,,,,,,,,,,
Total IBI income ($),0,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Federal CBI income ($),0,,,,,,,,,,,,,,,,,,,,,,,,,,
State CBI income ($),0,,,,,,,,,,,,,,,,,,,,,,,,,,
Utility CBI income ($),0,,,,,,,,,,,,,,,,,,,,,,,,,,
Other CBI income ($),0,,,,,,,,,,,,,,,,,,,,,,,,,,
Total CBI income ($),0,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Federal PBI income ($),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
State PBI income ($),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Utility PBI income ($),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Other PBI income ($),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Total PBI income ($),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
TAX CREDITS,,,,,,,,,,,,,,,,,,,,,,,,,,,
Federal PTC income ($),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
State PTC income ($),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Federal ITC income ($),,"12,082",,,,,,,,,,,,,,,,,,,,,,,,,
State ITC income ($),,0,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
